name,family,hyp_id,obs_minute,direction,n_full,er_full,pf_full,wr_full,n_train,er_train,n_test,er_test,pf_test,wr_test,dsr_test,oos_positive
vwap_reclaim_90_rr1.5_sm0.75,vwap,81ed4f66795b,90,long,205,0.05324523182065734,1.3354347296093563,0.624390243902439,133,0.032186573365767704,72,0.09214525368871732,1.8175280554232462,0.6666666666666666,0.21326564149747024,True
vwap_reclaim_90_rr2.0_sm0.75,vwap,3b1312bced6b,90,long,205,0.05324523182065734,1.3354347296093563,0.624390243902439,133,0.032186573365767704,72,0.09214525368871732,1.8175280554232462,0.6666666666666666,0.21326564149747024,True
vwap_reclaim_90_rr1.0_sm0.75,vwap,76dc328d4fd8,90,long,205,0.051569616487469494,1.3248786749731347,0.624390243902439,133,0.03177670331124699,72,0.0881315255491027,1.7819175901022475,0.6666666666666666,0.202339710345324,True
gap_rev_dn_g0.3_30,gap,5145205f6f58,30,long,223,0.03352472663674606,1.1869548434276787,0.5605381165919282,155,0.011886862920653387,68,0.08284632775431022,1.5105211935692486,0.5882352941176471,0.10333056471668561,True
gap_rev_dn_g0.5_90,gap,5514cd322d62,90,long,125,0.03191277950930641,1.1716509058899445,0.52,87,0.010622128673604753,38,0.08065716431736021,1.5478913986795235,0.5526315789473685,0.060470682090530914,True
vwap_reclaim_90,vwap,968743a976b3,90,long,205,0.042039776058286384,1.3588471629914332,0.6292682926829268,133,0.023437857099437166,72,0.07640165413504955,1.9891293810893977,0.6666666666666666,0.28863337682087076,True
vwap_reclaim_90_rr1.0_sm1.0,vwap,3b26ee8271f1,90,long,205,0.04337526491749772,1.3702467572154888,0.6292682926829268,133,0.025496317371153886,72,0.07640165413504955,1.9891293810893977,0.6666666666666666,0.28863337682087076,True
vwap_reclaim_90_rr1.5_sm1.0,vwap,32f5a8082678,90,long,205,0.042039776058286384,1.3588471629914332,0.6292682926829268,133,0.023437857099437166,72,0.07640165413504955,1.9891293810893977,0.6666666666666666,0.28863337682087076,True
vwap_reclaim_90_rr2.0_sm1.0,vwap,30f0a8332c32,90,long,205,0.042039776058286384,1.3588471629914332,0.6292682926829268,133,0.023437857099437166,72,0.07640165413504955,1.9891293810893977,0.6666666666666666,0.28863337682087076,True
gap_fade_up_g0.5_90,gap,997d2152d79a,90,short,149,0.03425222512485661,1.1924112917117273,0.42953020134228187,90,0.01045458662732432,59,0.07055370757871947,1.44420582459871,0.4745762711864407,0.06471971219787653,True
