symbol,obs,feature,side,thr,n_train,er_train,wr_train,sr_train,n_test,er_test,wr_test,survivor
NQ,30,ALL,,,0,,,,772,0.008565637221356994,0.5544041450777202,False
NQ,30,d_pdh,>,,0,,,,0,,,False
NQ,30,d_pdh,<,,0,,,,0,,,False
NQ,30,d_pdh,>,,0,,,,0,,,False
NQ,30,d_pdh,<,,0,,,,0,,,False
NQ,30,d_pdh,>,,0,,,,0,,,False
NQ,30,d_pdh,<,,0,,,,0,,,False
NQ,30,d_pdh,>,,0,,,,0,,,False
NQ,30,d_pdh,<,,0,,,,0,,,False
NQ,30,d_pdl,>,,0,,,,0,,,False
NQ,30,d_pdl,<,,0,,,,0,,,False
NQ,30,d_pdl,>,,0,,,,0,,,False
NQ,30,d_pdl,<,,0,,,,0,,,False
NQ,30,d_pdl,>,,0,,,,0,,,False
NQ,30,d_pdl,<,,0,,,,0,,,False
NQ,30,d_pdl,>,,0,,,,0,,,False
NQ,30,d_pdl,<,,0,,,,0,,,False
NQ,30,d_pc,>,,0,,,,0,,,False
NQ,30,d_pc,<,,0,,,,0,,,False
NQ,30,d_pc,>,,0,,,,0,,,False
NQ,30,d_pc,<,,0,,,,0,,,False
NQ,30,d_pc,>,,0,,,,0,,,False
NQ,30,d_pc,<,,0,,,,0,,,False
NQ,30,d_pc,>,,0,,,,0,,,False
NQ,30,d_pc,<,,0,,,,0,,,False
NQ,30,d_on_high,>,,0,,,,0,,,False
NQ,30,d_on_high,<,,0,,,,0,,,False
NQ,30,d_on_high,>,,0,,,,0,,,False
NQ,30,d_on_high,<,,0,,,,0,,,False
NQ,30,d_on_high,>,,0,,,,0,,,False
NQ,30,d_on_high,<,,0,,,,0,,,False
NQ,30,d_on_high,>,,0,,,,0,,,False
NQ,30,d_on_high,<,,0,,,,0,,,False
NQ,30,d_on_low,>,,0,,,,0,,,False
NQ,30,d_on_low,<,,0,,,,0,,,False
NQ,30,d_on_low,>,,0,,,,0,,,False
NQ,30,d_on_low,<,,0,,,,0,,,False
NQ,30,d_on_low,>,,0,,,,0,,,False
NQ,30,d_on_low,<,,0,,,,0,,,False
NQ,30,d_on_low,>,,0,,,,0,,,False
NQ,30,d_on_low,<,,0,,,,0,,,False
NQ,30,d_on_mid,>,,0,,,,0,,,False
NQ,30,d_on_mid,<,,0,,,,0,,,False
NQ,30,d_on_mid,>,,0,,,,0,,,False
NQ,30,d_on_mid,<,,0,,,,0,,,False
NQ,30,d_on_mid,>,,0,,,,0,,,False
NQ,30,d_on_mid,<,,0,,,,0,,,False
NQ,30,d_on_mid,>,,0,,,,0,,,False
NQ,30,d_on_mid,<,,0,,,,0,,,False
NQ,30,d_vwap,>,,0,,,,0,,,False
NQ,30,d_vwap,<,,0,,,,0,,,False
NQ,30,d_vwap,>,,0,,,,0,,,False
NQ,30,d_vwap,<,,0,,,,0,,,False
NQ,30,d_vwap,>,,0,,,,0,,,False
NQ,30,d_vwap,<,,0,,,,0,,,False
NQ,30,d_vwap,>,,0,,,,0,,,False
NQ,30,d_vwap,<,,0,,,,0,,,False
NQ,30,on_position,>,,0,,,,0,,,False
NQ,30,on_position,<,,0,,,,0,,,False
NQ,30,on_position,>,,0,,,,0,,,False
NQ,30,on_position,<,,0,,,,0,,,False
NQ,30,on_position,>,,0,,,,0,,,False
NQ,30,on_position,<,,0,,,,0,,,False
NQ,30,on_position,>,,0,,,,0,,,False
NQ,30,on_position,<,,0,,,,0,,,False
NQ,30,gap_atr,>,,0,,,,0,,,False
NQ,30,gap_atr,<,,0,,,,0,,,False
NQ,30,gap_atr,>,,0,,,,0,,,False
NQ,30,gap_atr,<,,0,,,,0,,,False
NQ,30,gap_atr,>,,0,,,,0,,,False
NQ,30,gap_atr,<,,0,,,,0,,,False
NQ,30,gap_atr,>,,0,,,,0,,,False
NQ,30,gap_atr,<,,0,,,,0,,,False
NQ,30,atr_pctile,>,,0,,,,0,,,False
NQ,30,atr_pctile,<,,0,,,,0,,,False
NQ,30,atr_pctile,>,,0,,,,0,,,False
NQ,30,atr_pctile,<,,0,,,,0,,,False
NQ,30,atr_pctile,>,,0,,,,0,,,False
NQ,30,atr_pctile,<,,0,,,,0,,,False
NQ,30,atr_pctile,>,,0,,,,0,,,False
NQ,30,atr_pctile,<,,0,,,,0,,,False
NQ,30,ret_5m,>,,0,,,,0,,,False
NQ,30,ret_5m,<,,0,,,,0,,,False
NQ,30,ret_5m,>,,0,,,,0,,,False
NQ,30,ret_5m,<,,0,,,,0,,,False
NQ,30,ret_5m,>,,0,,,,0,,,False
NQ,30,ret_5m,<,,0,,,,0,,,False
NQ,30,ret_5m,>,,0,,,,0,,,False
NQ,30,ret_5m,<,,0,,,,0,,,False
NQ,30,ret_15m,>,,0,,,,0,,,False
