sleeve,ES_150_long,ES_150_short,ES_210_long,ES_210_short,ES_60_long,ES_60_short,ES_90_long,ES_90_short,NQ_150_long,NQ_150_short,NQ_210_long,NQ_210_short,NQ_60_long,NQ_60_short,NQ_90_long,NQ_90_short
ES_150_long,1.0,,,,,,,,,,,,,,,
ES_150_short,,1.0,,,,,,,,,,,,,,
ES_210_long,,,,,,,,,,,,,,,,
ES_210_short,,,,,,,,,,,,,,,,
ES_60_long,,,,,1.0,,,,,,,,0.9241429766477066,,,
ES_60_short,,,,,,1.0,,,,,,,,0.8961472382499124,,
ES_90_long,,,,,,,1.0,,,,,,,,,
ES_90_short,,,,,,,,1.0,,,,,,,,
NQ_150_long,,,,,,,,,1.0,,,,,,,
NQ_150_short,,,,,,,,,,1.0,,,,,,
NQ_210_long,,,,,,,,,,,,,,,,
NQ_210_short,,,,,,,,,,,,,,,,
NQ_60_long,,,,,0.9241429766477066,,,,,,,,1.0,,,
NQ_60_short,,,,,,0.8961472382499124,,,,,,,,1.0,,
NQ_90_long,,,,,,,,,,,,,,,1.0,
NQ_90_short,,,,,,,,,,,,,,,,1.0
